what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403268607871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403268616088
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403268618288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268627495
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268630050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268630620
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268632438
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403268637737
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403268649431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403268652746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403268653224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403268663951
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403268665267
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403268665670
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403268666985
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403268668214
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403268675241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403268677224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268686729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268688854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268689459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268691278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268691707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268693624
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403268694615
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403268695311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268695610
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268696769
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403268701676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403268710724
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403268713845
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1403268715214
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403268715499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268724159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268725838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268727985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268739880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268740809
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403268741193
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403268741204
